"","source","type","score","phase","gene_id","gene_type","gene_name","level","havana_gene","tag","gene_id_no_ver","length"
"ZNFX1","HAVANA","gene",NA,NA,"ENSG00000124201.10","protein_coding","ZNFX1","2","OTTHUMG00000032696.5",NA,"ENSG00000124201",NA
"ZNF831","HAVANA","gene",NA,NA,"ENSG00000124203.5","protein_coding","ZNF831","1","OTTHUMG00000032864.3",NA,"ENSG00000124203",NA
"EDN3","HAVANA","gene",NA,NA,"ENSG00000124205.11","protein_coding","EDN3","2","OTTHUMG00000032867.2",NA,"ENSG00000124205",NA
"CSE1L","HAVANA","gene",NA,NA,"ENSG00000124207.12","protein_coding","CSE1L","2","OTTHUMG00000033046.3",NA,"ENSG00000124207",NA
"RAB22A","HAVANA","gene",NA,NA,"ENSG00000124209.3","protein_coding","RAB22A","2","OTTHUMG00000032844.2",NA,"ENSG00000124209",NA
"PTGIS","HAVANA","gene",NA,NA,"ENSG00000124212.5","protein_coding","PTGIS","2","OTTHUMG00000033077.3",NA,"ENSG00000124212",NA
"STAU1","HAVANA","gene",NA,NA,"ENSG00000124214.15","protein_coding","STAU1","2","OTTHUMG00000032691.4",NA,"ENSG00000124214",NA
"CDH26","HAVANA","gene",NA,NA,"ENSG00000124215.12","protein_coding","CDH26","2","OTTHUMG00000032874.2",NA,"ENSG00000124215",NA
"SNAI1","HAVANA","gene",NA,NA,"ENSG00000124216.3","protein_coding","SNAI1","2","OTTHUMG00000033048.1",NA,"ENSG00000124216",NA
"MOCS3","HAVANA","gene",NA,NA,"ENSG00000124217.3","protein_coding","MOCS3","2","OTTHUMG00000032741.2",NA,"ENSG00000124217",NA
"STX16","HAVANA","gene",NA,NA,"ENSG00000124222.17","protein_coding","STX16","2","OTTHUMG00000033084.7",NA,"ENSG00000124222",NA
"PPP4R1L","HAVANA","gene",NA,NA,"ENSG00000124224.12","protein_coding","PPP4R1L","2","OTTHUMG00000032838.8",NA,"ENSG00000124224",NA
"PMEPA1","HAVANA","gene",NA,NA,"ENSG00000124225.11","protein_coding","PMEPA1","1","OTTHUMG00000032831.2",NA,"ENSG00000124225",NA
"RNF114","HAVANA","gene",NA,NA,"ENSG00000124226.7","protein_coding","RNF114","2","OTTHUMG00000032709.1",NA,"ENSG00000124226",NA
"ANKRD60","HAVANA","gene",NA,NA,"ENSG00000124227.4","protein_coding","ANKRD60","2","OTTHUMG00000032837.3",NA,"ENSG00000124227",NA
"DDX27","HAVANA","gene",NA,NA,"ENSG00000124228.10","protein_coding","DDX27","2","OTTHUMG00000033072.3",NA,"ENSG00000124228",NA
"RBPJL","HAVANA","gene",NA,NA,"ENSG00000124232.6","protein_coding","RBPJL","2","OTTHUMG00000033055.1",NA,"ENSG00000124232",NA
"SEMG1","HAVANA","gene",NA,NA,"ENSG00000124233.10","protein_coding","SEMG1","2","OTTHUMG00000032565.3",NA,"ENSG00000124233",NA
"C20orf85","HAVANA","gene",NA,NA,"ENSG00000124237.5","protein_coding","C20orf85","2","OTTHUMG00000032836.2",NA,"ENSG00000124237",NA
"BCAS4","HAVANA","gene",NA,NA,"ENSG00000124243.13","protein_coding","BCAS4","2","OTTHUMG00000032735.4","ncRNA_host","ENSG00000124243",NA
"KCNK15","HAVANA","gene",NA,NA,"ENSG00000124249.5","protein_coding","KCNK15","2","OTTHUMG00000032544.2",NA,"ENSG00000124249",NA
"TP53TG5","HAVANA","gene",NA,NA,"ENSG00000124251.6","protein_coding","TP53TG5","2","OTTHUMG00000032582.2",NA,"ENSG00000124251",NA
"PCK1","HAVANA","gene",NA,NA,"ENSG00000124253.9","protein_coding","PCK1","2","OTTHUMG00000032825.2",NA,"ENSG00000124253",NA
"ZBP1","HAVANA","gene",NA,NA,"ENSG00000124256.10","protein_coding","ZBP1","2","OTTHUMG00000032824.3",NA,"ENSG00000124256",NA
"NEURL2","HAVANA","gene",NA,NA,"ENSG00000124257.6","protein_coding","NEURL2","1","OTTHUMG00000032626.2",NA,"ENSG00000124257",NA
"MAGEA10","HAVANA","gene",NA,NA,"ENSG00000124260.7","protein_coding","MAGEA10","2","OTTHUMG00000024180.3",NA,"ENSG00000124260",NA
"MTRR","HAVANA","gene",NA,NA,"ENSG00000124275.10","protein_coding","MTRR","1","OTTHUMG00000090477.2",NA,"ENSG00000124275",NA
"FASTKD3","HAVANA","gene",NA,NA,"ENSG00000124279.7","protein_coding","FASTKD3","2","OTTHUMG00000131029.2",NA,"ENSG00000124279",NA
"PEPD","HAVANA","gene",NA,NA,"ENSG00000124299.9","protein_coding","PEPD","1","OTTHUMG00000180470.10",NA,"ENSG00000124299",NA
"CHST8","HAVANA","gene",NA,NA,"ENSG00000124302.8","protein_coding","CHST8","2","OTTHUMG00000180472.5",NA,"ENSG00000124302",NA
"IQSEC2","HAVANA","gene",NA,NA,"ENSG00000124313.8","protein_coding","IQSEC2","2","OTTHUMG00000021608.2",NA,"ENSG00000124313",NA
"VAMP7","HAVANA","gene",NA,NA,"ENSG00000124333.10","protein_coding","VAMP7","2","OTTHUMG00000022679.2",NA,"ENSG00000124333",NA
"IL9R","HAVANA","gene",NA,NA,"ENSG00000124334.12","protein_coding","IL9R","2","OTTHUMG00000022720.1",NA,"ENSG00000124334",NA
"XG","HAVANA","gene",NA,NA,"ENSG00000124343.8","protein_coding","XG","2","OTTHUMG00000021075.2","ncRNA_host","ENSG00000124343",NA
"STAMBP","HAVANA","gene",NA,NA,"ENSG00000124356.11","protein_coding","STAMBP","1","OTTHUMG00000129817.3",NA,"ENSG00000124356",NA
"NAGK","HAVANA","gene",NA,NA,"ENSG00000124357.8","protein_coding","NAGK","1","OTTHUMG00000153239.24",NA,"ENSG00000124357",NA
"MCEE","HAVANA","gene",NA,NA,"ENSG00000124370.6","protein_coding","MCEE","2","OTTHUMG00000129709.20",NA,"ENSG00000124370",NA
"PAIP2B","HAVANA","gene",NA,NA,"ENSG00000124374.8","protein_coding","PAIP2B","2","OTTHUMG00000153284.3",NA,"ENSG00000124374",NA
"SNRNP27","HAVANA","gene",NA,NA,"ENSG00000124380.6","protein_coding","SNRNP27","2","OTTHUMG00000152689.2",NA,"ENSG00000124380",NA
"MPHOSPH10","HAVANA","gene",NA,NA,"ENSG00000124383.4","protein_coding","MPHOSPH10","2","OTTHUMG00000129715.6",NA,"ENSG00000124383",NA
"IL17C","HAVANA","gene",NA,NA,"ENSG00000124391.4","protein_coding","IL17C","2","OTTHUMG00000173241.1",NA,"ENSG00000124391",NA
"ATP8A1","HAVANA","gene",NA,NA,"ENSG00000124406.12","protein_coding","ATP8A1","2","OTTHUMG00000099403.3",NA,"ENSG00000124406",NA
"USP22","HAVANA","gene",NA,NA,"ENSG00000124422.7","protein_coding","USP22","1","OTTHUMG00000133621.3",NA,"ENSG00000124422",NA
"POF1B","HAVANA","gene",NA,NA,"ENSG00000124429.13","protein_coding","POF1B","2","OTTHUMG00000021934.4",NA,"ENSG00000124429",NA
"HIF3A","HAVANA","gene",NA,NA,"ENSG00000124440.11","protein_coding","HIF3A","2","OTTHUMG00000141296.5",NA,"ENSG00000124440",NA
"ZNF576","HAVANA","gene",NA,NA,"ENSG00000124444.11","protein_coding","ZNF576","2","OTTHUMG00000165479.2",NA,"ENSG00000124444",NA
"IRGC","HAVANA","gene",NA,NA,"ENSG00000124449.6","protein_coding","IRGC","2","OTTHUMG00000154587.2",NA,"ENSG00000124449",NA
"ZNF45","HAVANA","gene",NA,NA,"ENSG00000124459.7","protein_coding","ZNF45","2","OTTHUMG00000182189.1",NA,"ENSG00000124459",NA
"LYPD3","HAVANA","gene",NA,NA,"ENSG00000124466.8","protein_coding","LYPD3","2","OTTHUMG00000182696.2",NA,"ENSG00000124466",NA
"PSG8","HAVANA","gene",NA,NA,"ENSG00000124467.14","protein_coding","PSG8","2","OTTHUMG00000151118.3",NA,"ENSG00000124467",NA
"CEACAM8","HAVANA","gene",NA,NA,"ENSG00000124469.6","protein_coding","CEACAM8","2","OTTHUMG00000151124.2",NA,"ENSG00000124469",NA
"NDP","HAVANA","gene",NA,NA,"ENSG00000124479.8","protein_coding","NDP","2","OTTHUMG00000021391.1",NA,"ENSG00000124479",NA
"USP9X","HAVANA","gene",NA,NA,"ENSG00000124486.8","protein_coding","USP9X","2","OTTHUMG00000021367.4",NA,"ENSG00000124486",NA
"CRISP2","HAVANA","gene",NA,NA,"ENSG00000124490.9","protein_coding","CRISP2","2","OTTHUMG00000014822.2",NA,"ENSG00000124490",NA
"F13A1","HAVANA","gene",NA,NA,"ENSG00000124491.11","protein_coding","F13A1","1","OTTHUMG00000014186.5",NA,"ENSG00000124491",NA
"GRM4","HAVANA","gene",NA,NA,"ENSG00000124493.9","protein_coding","GRM4","2","OTTHUMG00000014538.2","ncRNA_host","ENSG00000124493",NA
"TRERF1","HAVANA","gene",NA,NA,"ENSG00000124496.8","protein_coding","TRERF1","2","OTTHUMG00000014698.2","ncRNA_host","ENSG00000124496",NA
"PACSIN1","HAVANA","gene",NA,NA,"ENSG00000124507.6","protein_coding","PACSIN1","2","OTTHUMG00000014547.3",NA,"ENSG00000124507",NA
"BTN2A2","HAVANA","gene",NA,NA,"ENSG00000124508.12","protein_coding","BTN2A2","1","OTTHUMG00000014452.3",NA,"ENSG00000124508",NA
"SIRT5","HAVANA","gene",NA,NA,"ENSG00000124523.10","protein_coding","SIRT5","2","OTTHUMG00000014278.2",NA,"ENSG00000124523",NA
"MRS2","HAVANA","gene",NA,NA,"ENSG00000124532.10","protein_coding","MRS2","2","OTTHUMG00000014355.1",NA,"ENSG00000124532",NA
"WRNIP1","HAVANA","gene",NA,NA,"ENSG00000124535.11","protein_coding","WRNIP1","2","OTTHUMG00000014126.3",NA,"ENSG00000124535",NA
"RRP36","HAVANA","gene",NA,NA,"ENSG00000124541.6","protein_coding","RRP36","2","OTTHUMG00000014715.2",NA,"ENSG00000124541",NA
"BTN1A1","HAVANA","gene",NA,NA,"ENSG00000124557.8","protein_coding","BTN1A1","2","OTTHUMG00000016358.1",NA,"ENSG00000124557",NA
"SNRPC","HAVANA","gene",NA,NA,"ENSG00000124562.5","protein_coding","SNRPC","2","OTTHUMG00000014555.2",NA,"ENSG00000124562",NA
"SLC17A3","HAVANA","gene",NA,NA,"ENSG00000124564.13","protein_coding","SLC17A3","2","OTTHUMG00000014412.6",NA,"ENSG00000124564",NA
"SLC17A1","HAVANA","gene",NA,NA,"ENSG00000124568.6","protein_coding","SLC17A1","2","OTTHUMG00000016297.2",NA,"ENSG00000124568",NA
"SERPINB6","HAVANA","gene",NA,NA,"ENSG00000124570.13","protein_coding","SERPINB6","2","OTTHUMG00000016170.1",NA,"ENSG00000124570",NA
"XPO5","HAVANA","gene",NA,NA,"ENSG00000124571.13","protein_coding","XPO5","2","OTTHUMG00000014742.7",NA,"ENSG00000124571",NA
"ABCC10","HAVANA","gene",NA,NA,"ENSG00000124574.10","protein_coding","ABCC10","2","OTTHUMG00000014733.3",NA,"ENSG00000124574",NA
"HIST1H1D","HAVANA","gene",NA,NA,"ENSG00000124575.5","protein_coding","HIST1H1D","2","OTTHUMG00000014432.1",NA,"ENSG00000124575",NA
"PEX6","HAVANA","gene",NA,NA,"ENSG00000124587.9","protein_coding","PEX6","2","OTTHUMG00000014713.1",NA,"ENSG00000124587",NA
"NQO2","HAVANA","gene",NA,NA,"ENSG00000124588.15","protein_coding","NQO2","2","OTTHUMG00000014130.12",NA,"ENSG00000124588",NA
"PRICKLE4","HAVANA","gene",NA,NA,"ENSG00000124593.10","protein_coding","PRICKLE4","2","OTTHUMG00000014685.8",NA,"ENSG00000124593",NA
"OARD1","HAVANA","gene",NA,NA,"ENSG00000124596.12","protein_coding","OARD1","1","OTTHUMG00000014667.3",NA,"ENSG00000124596",NA
"UNC5CL","HAVANA","gene",NA,NA,"ENSG00000124602.5","protein_coding","UNC5CL","2","OTTHUMG00000014665.1",NA,"ENSG00000124602",NA
"AARS2","HAVANA","gene",NA,NA,"ENSG00000124608.4","protein_coding","AARS2","2","OTTHUMG00000014766.2",NA,"ENSG00000124608",NA
"HIST1H1A","HAVANA","gene",NA,NA,"ENSG00000124610.3","protein_coding","HIST1H1A","2","OTTHUMG00000016413.1",NA,"ENSG00000124610",NA
"ZNF391","HAVANA","gene",NA,NA,"ENSG00000124613.4","protein_coding","ZNF391","2","OTTHUMG00000014477.3",NA,"ENSG00000124613",NA
"RPS10","HAVANA","gene",NA,NA,"ENSG00000124614.9","protein_coding","RPS10","2","OTTHUMG00000014546.1",NA,"ENSG00000124614",NA
"MOCS1","HAVANA","gene",NA,NA,"ENSG00000124615.13","protein_coding","MOCS1","2","OTTHUMG00000014656.5",NA,"ENSG00000124615",NA
"HIST1H2BJ","HAVANA","gene",NA,NA,"ENSG00000124635.7","protein_coding","HIST1H2BJ","2","OTTHUMG00000014470.3",NA,"ENSG00000124635",NA
"MED20","HAVANA","gene",NA,NA,"ENSG00000124641.10","protein_coding","MED20","2","OTTHUMG00000014689.5","ncRNA_host","ENSG00000124641",NA
"OR2B6","HAVANA","gene",NA,NA,"ENSG00000124657.1","protein_coding","OR2B6","2","OTTHUMG00000014497.1",NA,"ENSG00000124657",NA
"TBCC","HAVANA","gene",NA,NA,"ENSG00000124659.5","protein_coding","TBCC","2","OTTHUMG00000014704.1",NA,"ENSG00000124659",NA
"SPDEF","HAVANA","gene",NA,NA,"ENSG00000124664.6","protein_coding","SPDEF","2","OTTHUMG00000014548.1",NA,"ENSG00000124664",NA
"TCP11","HAVANA","gene",NA,NA,"ENSG00000124678.13","protein_coding","TCP11","1","OTTHUMG00000014560.5",NA,"ENSG00000124678",NA
"MAD2L1BP","HAVANA","gene",NA,NA,"ENSG00000124688.9","protein_coding","MAD2L1BP","2","OTTHUMG00000014747.2",NA,"ENSG00000124688",NA
"APOBEC2","HAVANA","gene",NA,NA,"ENSG00000124701.5","protein_coding","APOBEC2","2","OTTHUMG00000014670.1",NA,"ENSG00000124701",NA
"KLHDC3","HAVANA","gene",NA,NA,"ENSG00000124702.13","protein_coding","KLHDC3","2","OTTHUMG00000014714.2",NA,"ENSG00000124702",NA
"GNMT","HAVANA","gene",NA,NA,"ENSG00000124713.5","protein_coding","GNMT","2","OTTHUMG00000014712.1",NA,"ENSG00000124713",NA
"DNAH8","HAVANA","gene",NA,NA,"ENSG00000124721.13","protein_coding","DNAH8","2","OTTHUMG00000016253.2","ncRNA_host","ENSG00000124721",NA
"TREM1","HAVANA","gene",NA,NA,"ENSG00000124731.8","protein_coding","TREM1","1","OTTHUMG00000014674.2",NA,"ENSG00000124731",NA
"MEA1","HAVANA","gene",NA,NA,"ENSG00000124733.3","protein_coding","MEA1","2","OTTHUMG00000014717.2",NA,"ENSG00000124733",NA
"KLHL31","HAVANA","gene",NA,NA,"ENSG00000124743.5","protein_coding","KLHL31","2","OTTHUMG00000014882.1",NA,"ENSG00000124743",NA
"COL21A1","HAVANA","gene",NA,NA,"ENSG00000124749.12","protein_coding","COL21A1","2","OTTHUMG00000014907.4",NA,"ENSG00000124749",NA
"CDKN1A","HAVANA","gene",NA,NA,"ENSG00000124762.9","protein_coding","CDKN1A","2","OTTHUMG00000014603.3",NA,"ENSG00000124762",NA
"SOX4","HAVANA","gene",NA,NA,"ENSG00000124766.4","protein_coding","SOX4","2","OTTHUMG00000016101.1",NA,"ENSG00000124766",NA
"GLO1","HAVANA","gene",NA,NA,"ENSG00000124767.6","protein_coding","GLO1","2","OTTHUMG00000014636.2",NA,"ENSG00000124767",NA
"CPNE5","HAVANA","gene",NA,NA,"ENSG00000124772.7","protein_coding","CPNE5","2","OTTHUMG00000014602.1",NA,"ENSG00000124772",NA
"KCNK17","HAVANA","gene",NA,NA,"ENSG00000124780.9","protein_coding","KCNK17","2","OTTHUMG00000014646.2",NA,"ENSG00000124780",NA
"RREB1","HAVANA","gene",NA,NA,"ENSG00000124782.15","protein_coding","RREB1","2","OTTHUMG00000014201.3",NA,"ENSG00000124782",NA
"SSR1","HAVANA","gene",NA,NA,"ENSG00000124783.8","protein_coding","SSR1","1","OTTHUMG00000014202.3",NA,"ENSG00000124783",NA
"RIOK1","HAVANA","gene",NA,NA,"ENSG00000124784.4","protein_coding","RIOK1","2","OTTHUMG00000014207.2",NA,"ENSG00000124784",NA
"NRN1","HAVANA","gene",NA,NA,"ENSG00000124785.4","protein_coding","NRN1","2","OTTHUMG00000014184.1",NA,"ENSG00000124785",NA
"SLC35B3","HAVANA","gene",NA,NA,"ENSG00000124786.8","protein_coding","SLC35B3","2","OTTHUMG00000014224.1",NA,"ENSG00000124786",NA
"RPP40","HAVANA","gene",NA,NA,"ENSG00000124787.9","protein_coding","RPP40","1","OTTHUMG00000014168.3",NA,"ENSG00000124787",NA
"ATXN1","HAVANA","gene",NA,NA,"ENSG00000124788.13","protein_coding","ATXN1","2","OTTHUMG00000014303.3","ncRNA_host","ENSG00000124788",NA
"NUP153","HAVANA","gene",NA,NA,"ENSG00000124789.7","protein_coding","NUP153","2","OTTHUMG00000014312.1",NA,"ENSG00000124789",NA
"DEK","HAVANA","gene",NA,NA,"ENSG00000124795.10","protein_coding","DEK","1","OTTHUMG00000014319.4",NA,"ENSG00000124795",NA
"EEF1E1","HAVANA","gene",NA,NA,"ENSG00000124802.7","protein_coding","EEF1E1","1","OTTHUMG00000014221.3",NA,"ENSG00000124802",NA
"CRISP1","HAVANA","gene",NA,NA,"ENSG00000124812.10","protein_coding","CRISP1","2","OTTHUMG00000014827.2",NA,"ENSG00000124812",NA
"RUNX2","HAVANA","gene",NA,NA,"ENSG00000124813.16","protein_coding","RUNX2","2","OTTHUMG00000014774.5","ncRNA_host","ENSG00000124813",NA
"OPN5","HAVANA","gene",NA,NA,"ENSG00000124818.10","protein_coding","OPN5","2","OTTHUMG00000014803.2","ncRNA_host","ENSG00000124818",NA
"GCM2","HAVANA","gene",NA,NA,"ENSG00000124827.6","protein_coding","GCM2","2","OTTHUMG00000014249.1",NA,"ENSG00000124827",NA
"LRRFIP1","HAVANA","gene",NA,NA,"ENSG00000124831.14","protein_coding","LRRFIP1","1","OTTHUMG00000133339.3",NA,"ENSG00000124831",NA
"RAB17","HAVANA","gene",NA,NA,"ENSG00000124839.8","protein_coding","RAB17","1","OTTHUMG00000133299.4",NA,"ENSG00000124839",NA
"CXCL6","HAVANA","gene",NA,NA,"ENSG00000124875.5","protein_coding","CXCL6","1","OTTHUMG00000130010.3",NA,"ENSG00000124875",NA
"EREG","HAVANA","gene",NA,NA,"ENSG00000124882.3","protein_coding","EREG","2","OTTHUMG00000130005.2",NA,"ENSG00000124882",NA
"TRIM51","HAVANA","gene",NA,NA,"ENSG00000124900.8","protein_coding","TRIM51","2","OTTHUMG00000156437.3",NA,"ENSG00000124900",NA
"MYRF","HAVANA","gene",NA,NA,"ENSG00000124920.9","protein_coding","MYRF","2","OTTHUMG00000168161.2",NA,"ENSG00000124920",NA
"SCGB1D2","HAVANA","gene",NA,NA,"ENSG00000124935.3","protein_coding","SCGB1D2","2","OTTHUMG00000167508.1",NA,"ENSG00000124935",NA
"SCGB2A1","HAVANA","gene",NA,NA,"ENSG00000124939.4","protein_coding","SCGB2A1","2","OTTHUMG00000167506.1",NA,"ENSG00000124939",NA
"AHNAK","HAVANA","gene",NA,NA,"ENSG00000124942.9","protein_coding","AHNAK","1","OTTHUMG00000167558.4",NA,"ENSG00000124942",NA
"EMC3","HAVANA","gene",NA,NA,"ENSG00000125037.8","protein_coding","EMC3","2","OTTHUMG00000128652.4",NA,"ENSG00000125037",NA
"SSUH2","HAVANA","gene",NA,NA,"ENSG00000125046.10","protein_coding","SSUH2","2","OTTHUMG00000122075.4","ncRNA_host","ENSG00000125046",NA
"WNT1","HAVANA","gene",NA,NA,"ENSG00000125084.7","protein_coding","WNT1","2","OTTHUMG00000170403.1",NA,"ENSG00000125084",NA
"SH3TC1","HAVANA","gene",NA,NA,"ENSG00000125089.12","protein_coding","SH3TC1","1","OTTHUMG00000160934.4",NA,"ENSG00000125089",NA
"CNOT1","HAVANA","gene",NA,NA,"ENSG00000125107.12","protein_coding","CNOT1","1","OTTHUMG00000133487.9","ncRNA_host","ENSG00000125107",NA
"LRRC29","HAVANA","gene",NA,NA,"ENSG00000125122.10","protein_coding","LRRC29","1","OTTHUMG00000154403.1",NA,"ENSG00000125122",NA
"BBS2","HAVANA","gene",NA,NA,"ENSG00000125124.7","protein_coding","BBS2","1","OTTHUMG00000176943.7",NA,"ENSG00000125124",NA
"MT1G","HAVANA","gene",NA,NA,"ENSG00000125144.9","protein_coding","MT1G","1","OTTHUMG00000133275.2",NA,"ENSG00000125144",NA
"MT2A","HAVANA","gene",NA,NA,"ENSG00000125148.6","protein_coding","MT2A","2","OTTHUMG00000133281.2",NA,"ENSG00000125148",NA
"C16orf70","HAVANA","gene",NA,NA,"ENSG00000125149.7","protein_coding","C16orf70","2","OTTHUMG00000137510.4",NA,"ENSG00000125149",NA
"GOT2","HAVANA","gene",NA,NA,"ENSG00000125166.8","protein_coding","GOT2","2","OTTHUMG00000133769.4",NA,"ENSG00000125166",NA
"DOK4","HAVANA","gene",NA,NA,"ENSG00000125170.6","protein_coding","DOK4","2","OTTHUMG00000133460.6",NA,"ENSG00000125170",NA
"PIWIL1","HAVANA","gene",NA,NA,"ENSG00000125207.3","protein_coding","PIWIL1","1","OTTHUMG00000168382.1",NA,"ENSG00000125207",NA
"GPR18","HAVANA","gene",NA,NA,"ENSG00000125245.8","protein_coding","GPR18","2","OTTHUMG00000017266.1",NA,"ENSG00000125245",NA
"CLYBL","HAVANA","gene",NA,NA,"ENSG00000125246.11","protein_coding","CLYBL","2","OTTHUMG00000017278.2","ncRNA_host","ENSG00000125246",NA
"TMTC4","HAVANA","gene",NA,NA,"ENSG00000125247.11","protein_coding","TMTC4","1","OTTHUMG00000017289.5",NA,"ENSG00000125247",NA
"RAP2A","HAVANA","gene",NA,NA,"ENSG00000125249.6","protein_coding","RAP2A","2","OTTHUMG00000017240.5",NA,"ENSG00000125249",NA
"SLC10A2","HAVANA","gene",NA,NA,"ENSG00000125255.5","protein_coding","SLC10A2","2","OTTHUMG00000017313.1",NA,"ENSG00000125255",NA
"ABCC4","HAVANA","gene",NA,NA,"ENSG00000125257.9","protein_coding","ABCC4","2","OTTHUMG00000017216.2",NA,"ENSG00000125257",NA
"EFNB2","HAVANA","gene",NA,NA,"ENSG00000125266.6","protein_coding","EFNB2","2","OTTHUMG00000017324.4",NA,"ENSG00000125266",NA
"SOX21","HAVANA","gene",NA,NA,"ENSG00000125285.4","protein_coding","SOX21","2","OTTHUMG00000017209.4",NA,"ENSG00000125285",NA
"TM9SF2","HAVANA","gene",NA,NA,"ENSG00000125304.8","protein_coding","TM9SF2","2","OTTHUMG00000017272.3",NA,"ENSG00000125304",NA
"C17orf53","HAVANA","gene",NA,NA,"ENSG00000125319.10","protein_coding","C17orf53","1","OTTHUMG00000181808.1",NA,"ENSG00000125319",NA
"KIF25","HAVANA","gene",NA,NA,"ENSG00000125337.12","protein_coding","KIF25","2","OTTHUMG00000016035.3",NA,"ENSG00000125337",NA
"IRF1","HAVANA","gene",NA,NA,"ENSG00000125347.9","protein_coding","IRF1","2","OTTHUMG00000059497.15",NA,"ENSG00000125347",NA
"UPF3B","HAVANA","gene",NA,NA,"ENSG00000125351.6","protein_coding","UPF3B","2","OTTHUMG00000022282.1",NA,"ENSG00000125351",NA
"RNF113A","HAVANA","gene",NA,NA,"ENSG00000125352.4","protein_coding","RNF113A","2","OTTHUMG00000022283.1",NA,"ENSG00000125352",NA
"SEPT6","HAVANA","gene",NA,NA,"ENSG00000125354.18","protein_coding","SEPT6","2","OTTHUMG00000022280.4","ncRNA_host","ENSG00000125354",NA
"TMEM255A","HAVANA","gene",NA,NA,"ENSG00000125355.11","protein_coding","TMEM255A","2","OTTHUMG00000022298.2",NA,"ENSG00000125355",NA
"NDUFA1","HAVANA","gene",NA,NA,"ENSG00000125356.6","protein_coding","NDUFA1","2","OTTHUMG00000022287.1",NA,"ENSG00000125356",NA
"AMELX","HAVANA","gene",NA,NA,"ENSG00000125363.10","protein_coding","AMELX","2","OTTHUMG00000021130.1",NA,"ENSG00000125363",NA
"ATP5S","HAVANA","gene",NA,NA,"ENSG00000125375.10","protein_coding","ATP5S","2","OTTHUMG00000170866.1",NA,"ENSG00000125375",NA
"BMP4","HAVANA","gene",NA,NA,"ENSG00000125378.11","protein_coding","BMP4","1","OTTHUMG00000140303.3",NA,"ENSG00000125378",NA
"PTGER2","HAVANA","gene",NA,NA,"ENSG00000125384.6","protein_coding","PTGER2","2","OTTHUMG00000140300.2",NA,"ENSG00000125384",NA
"FAM193A","HAVANA","gene",NA,NA,"ENSG00000125386.10","protein_coding","FAM193A","1","OTTHUMG00000160512.2",NA,"ENSG00000125386",NA
"GRK4","HAVANA","gene",NA,NA,"ENSG00000125388.15","protein_coding","GRK4","2","OTTHUMG00000159914.4",NA,"ENSG00000125388",NA
"SOX9","HAVANA","gene",NA,NA,"ENSG00000125398.5","protein_coding","SOX9","2","OTTHUMG00000166300.1",NA,"ENSG00000125398",NA
"TEKT3","HAVANA","gene",NA,NA,"ENSG00000125409.8","protein_coding","TEKT3","1","OTTHUMG00000058965.6",NA,"ENSG00000125409",NA
"MYH2","HAVANA","gene",NA,NA,"ENSG00000125414.14","protein_coding","MYH2","1","OTTHUMG00000130363.47",NA,"ENSG00000125414",NA
"HS3ST3B1","HAVANA","gene",NA,NA,"ENSG00000125430.4","protein_coding","HS3ST3B1","2","OTTHUMG00000058810.3",NA,"ENSG00000125430",NA
"SLC25A35","HAVANA","gene",NA,NA,"ENSG00000125434.6","protein_coding","SLC25A35","2","OTTHUMG00000178480.2",NA,"ENSG00000125434",NA
"MRPS7","HAVANA","gene",NA,NA,"ENSG00000125445.6","protein_coding","MRPS7","2","OTTHUMG00000179484.2",NA,"ENSG00000125445",NA
"GGA3","HAVANA","gene",NA,NA,"ENSG00000125447.12","protein_coding","GGA3","1","OTTHUMG00000179483.2",NA,"ENSG00000125447",NA
"ARMC7","HAVANA","gene",NA,NA,"ENSG00000125449.2","protein_coding","ARMC7","1","OTTHUMG00000179345.1",NA,"ENSG00000125449",NA
"NUP85","HAVANA","gene",NA,NA,"ENSG00000125450.6","protein_coding","NUP85","1","OTTHUMG00000179482.2",NA,"ENSG00000125450",NA
"SLC25A19","HAVANA","gene",NA,NA,"ENSG00000125454.7","protein_coding","SLC25A19","1","OTTHUMG00000179607.1",NA,"ENSG00000125454",NA
"MIF4GD","HAVANA","gene",NA,NA,"ENSG00000125457.9","protein_coding","MIF4GD","1","OTTHUMG00000179485.1",NA,"ENSG00000125457",NA
"NT5C","HAVANA","gene",NA,NA,"ENSG00000125458.2","protein_coding","NT5C","2","OTTHUMG00000179346.2",NA,"ENSG00000125458",NA
"MSTO1","HAVANA","gene",NA,NA,"ENSG00000125459.10","protein_coding","MSTO1","2","OTTHUMG00000014014.6",NA,"ENSG00000125459",NA
"C1orf61","HAVANA","gene",NA,NA,"ENSG00000125462.12","protein_coding","C1orf61","2","OTTHUMG00000031022.3",NA,"ENSG00000125462",NA
"TTF1","HAVANA","gene",NA,NA,"ENSG00000125482.8","protein_coding","TTF1","2","OTTHUMG00000020836.2",NA,"ENSG00000125482",NA
"GTF3C4","HAVANA","gene",NA,NA,"ENSG00000125484.7","protein_coding","GTF3C4","2","OTTHUMG00000020842.3",NA,"ENSG00000125484",NA
"DDX31","HAVANA","gene",NA,NA,"ENSG00000125485.13","protein_coding","DDX31","2","OTTHUMG00000020843.1",NA,"ENSG00000125485",NA
"BARHL1","HAVANA","gene",NA,NA,"ENSG00000125492.5","protein_coding","BARHL1","2","OTTHUMG00000020839.2",NA,"ENSG00000125492",NA
